Institute,Ranking,Location,ShortDescription,LongDescription,ApplicationDeadline_Masters,ApplicationDeadline_Phd,Application_Fees_US_Resident,Application_Fees_International_Resident,Admissions_Phone,Admissions_Email,Application_URL,Website,FullTimeFaculty,Phd_Student_Ratio,FemalePercentage,MalePercentage,Tuition_masters_full_time,Tuition_masters_part_time,Tuition_doctoral_full_time,Page_URL
Massachusetts Institute of Technology,#1," • Cambridge, MA","The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $55,510 per year. The 2021 Ph.D. student-faculty ratio is 5.6:1. The MIT School of Engineering at Massachusetts Institute of Technology has 395 full-time faculty on staff.","
	The School of Engineering is a popular destination for MIT students and faculty. About 45 percent of all graduate students at MIT, roughly 2,800 students, are enrolled in the School of Engineering, and about a third of all faculty members teach at the School. Graduate students have 15 areas in which to earn degrees, most of which are highly ranked.

	There are close to 20 research centers on campus, which explore topics as varied as cancer research, ocean engineering, and soldier nanotechnologies. Students can also get involved with university initiatives like Transportation@MIT, an interdisciplinary program that examines travel issues. Students with ideas for new businesses can enter the $100K Entrepreneurship Competition for a chance to win start-up money.

	For prospective students already working in an engineering field but looking to switch to another, MIT offers a part-time Career Reengineering Program. Professionals complete a semester-long course; an internship or research project; and career and professional development workshops.

	Graduate students can live on the MIT campus in Cambridge, Mass., which puts them in an ideal location for getting to class and exploring downtown Boston, just across the Charles River.
", N/A, N/A, $75, $75, (617) 324-6730,gradadmissions@mit.edu,http://gradadmissions.mit.edu/applications/procedures,http://gradadmissions.mit.edu/, 395, 5.6:1,37.7%,62.3%," $55,510 per year", N/A," $55,510 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/massachusetts-institute-of-technology-02077
Stanford University,#2," • Stanford, CA","The application fee is $125 for U.S. residents and $125 for international students. Its tuition is full-time: $57,861 per year. The 2021 Ph.D. student-faculty ratio is 6.5:1. The School of Engineering at Stanford University has 283 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementStanford, CAExplore Map", 12/01, 11/30, $125, $125, (866) 432-7472,gradadmissions@stanford.edu,https://gradadmissions.stanford.edu/applying/starting-your-application,http://gradadmissions.stanford.edu/, 283, 6.5:1,39.7%,60.3%," $57,861 per year", N/A," $57,861 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/stanford-university-02020
"University of California, Berkeley",#3," • Berkeley, CA","The application fee is $120 for U.S. residents and $140 for international students. Its tuition is full-time: $11,442 per year (in-state) and full-time: $26,544 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 5.6:1. The College of Engineering at University of California, Berkeley has 265 full-time faculty on staff."," Graduate students at the UC—Berkeley College of Engineering can complete an advanced degree in eight areas, including Industrial Engineering & Operations Research and Applied Science & Technology. 
 Earning a master’s in engineering typically takes two years at Berkeley, but students can also opt for the accelerated Berkeley Engineering Professional Master’s Program, which graduates students in just one year. All graduate students must also complete two minors, which can include fields outside of the College of Engineering. 
 The College of Engineering has about 40 research centers and institutes where students can get involved. Graduate students can live on campus. For a break from school work, students can explore nearby San Francisco or take a quick trip to local beaches. To travel in and around San Francisco, students can take the Bay Area Rapid Transit, which stops a block from campus.", 01/06, 12/01, $120, $140, (510) 643-7462,gradadm@berkeley.edu,http://grad.berkeley.edu/admissions/apply/,http://www.grad.berkeley.edu/, 265, 5.6:1,37.8%,61.1%,"$11,442 per year (in-state)", N/A,"$11,442 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-berkeley-02021
Carnegie Mellon University (Carnegie),#4," • Pittsburgh, PA","The Carnegie Institute of Technology at Carnegie Mellon University (Carnegie) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $50,100 per year and part-time: $2,088 per credit. The 2021 Ph.D. student-faculty ratio is 4.7:1. The Carnegie Institute of Technology at Carnegie Mellon University (Carnegie) has 320 full-time faculty on staff.","
	Graduate students at the Carnegie Mellon Institute of Technology have many ways to make their advanced engineering degree more robust. Students have about 10 interdisciplinary majors to choose from, each completed in conjunction with other departments at Carnegie Mellon, including the highly ranked Tepper School of Business. Engineering students can pursue course-based or research-based master’s degrees, and Ph.D. programs are offered in most departments.

	Students also have the option to give their education a global slant with study and research programs in Chile, Portugal, and Japan. For students short on time, there is an accelerated master’s program in Engineering and Technology Innovation Management, which takes a year to complete. Undergraduates at Carnegie Mellon University can also complete an accelerated master’s in one year after graduation.

	Faculty and students are actively engaged in research projects, and there are about 30 research centers on campus. The Carnegie Mellon University campus is located in Pittsburgh, Pa., and no graduate students can live on campus. The school also has facilities in Silicon Valley, where some students can live. At that campus, students can complete master’s degrees in software engineering and software management full or part time.
", 01/31, 01/31, $75, $75, (412) 268-2082,admission@andrew.cmu.edu,https://engineering.cmu.edu/education/graduate-programs/index.html,https://engineering.cmu.edu/, 320, 4.7:1,32%,68%," $50,100 per year"," $2,088 per credit"," $45,300 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/carnegie-mellon-university-02152
Purdue University--West Lafayette,#4," • West Lafayette, IN","The College of Engineering at Purdue University--West Lafayette has a rolling application deadline. The application fee is $60 for U.S. residents and $75 for international students. Its tuition is full-time: $10,842 per year (in-state); full-time: $29,644 per year (out-of-state); part-time: $348 per credit (in-state); and part-time: $948 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 5.8:1. The College of Engineering at Purdue University--West Lafayette has 390 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementWest Lafayette, INExplore Map", N/A, N/A, $60, $75, (765) 494-2600,gradinfo@purdue.edu,https://www.gradschool.purdue.edu/admissions/,http://engineering.purdue.edu/, 390, 5.8:1,24%,76%,"$10,842 per year (in-state)",$348 per credit (in-state),"$10,842 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/purdue-university-main-campus-02057
University of Texas--Austin (Cockrell),#6," • Austin, TX","The Cockrell School of Engineering at University of Texas--Austin (Cockrell) has a rolling application deadline. The application fee is $65 for U.S. residents and $90 for international students. Its tuition is full-time: $10,554 per year (in-state) and full-time: $19,320 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.9:1. The Cockrell School of Engineering at University of Texas--Austin (Cockrell) has 327 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementAustin, TXExplore Map", N/A, N/A, $65, $90, (512) 475-7391,gradus@austin.utexas.edu,https://gradschool.utexas.edu/admissions,https://www.engr.utexas.edu/, 327, 4.9:1,28%,72%,"$10,554 per year (in-state)", N/A,"$10,554 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-texas-at-austin-02178
California Institute of Technology,#7," • Pasadena, CA",The application fee is $100 for U.S. residents and $100 for international students. The 2021 Ph.D. student-faculty ratio is 4.7:1. The Division of Engineering and Applied Science at California Institute of Technology has 105 full-time faculty on staff.,"
	The traditional science powerhouse of CalTech has a Division of Engineering and Applied Science for graduate students, as well as a separate chemical engineering program. Students can earn a master of science in a year, or a special engineer’s degree in aeronautical, civil, electrical, or mechanical engineering in two years. There are Ph.D. programs, as well as part-time study programs. Students interested in becoming medical scientists can enroll in a joint M.D./Ph.D. program offered with either UCLA’s Geffen School of Medicine or USC’s Keck School of Medicine.

	Students can get involved in on-campus research centers, like the Center for the Science and Engineering of Materials and the Center for Neuromorphic Systems Engineering. Individual centers often host luncheons, speakers, and events. For support outside the classroom, students can join organizations like the CalTech Women’s Club, a group of mostly women that hosts events throughout the year such as the Fall Family Potluck.

	The residential campus in Pasadena, Calif. is about 10 miles away from Los Angeles, and students can live in university-owned housing. After graduation, CalTech alumni are invited to come back to campus each year for Seminar Day and Alumni College, two events that examine new breakthroughs in research and allow alumni to mingle.
", 12/01, 12/01, $100, $100, (626) 395-6346,gradofc@caltech.edu,https://www.applyweb.com/caltgapp/index.ftl,http://www.gradoffice.caltech.edu/, 105, 4.7:1,100%,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/california-institute-of-technology-02009
Georgia Institute of Technology,#7," • Atlanta, GA","The application fee is $75 for U.S. residents and $85 for international students. Its tuition is full-time: $14,064 per year (in-state); full-time: $29,140 per year (out-of-state); part-time: $586 per credit (in-state); and part-time: $1,215 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.5:1. The College of Engineering at Georgia Institute of Technology has 571 full-time faculty on staff.","
	Students at the Georgia Tech College of Engineering have extensive degree options. There are close to 20 areas to specialize in, from medical physics to aerospace engineering. Among many well regarded programs at the Tech Engineering, the industrial engineering and biomedical engineering programs are especially highly ranked.

	Students can complete a master’s or a doctorate degree, and a handful of the master’s degree offerings include dual programs with universities abroad. The Dual Program in Electrical and Computer Engineering, for example, sends students to a partner school, like France’s Institut d’Electronique de Microelectronique et de Nanotechnologies, Germany’s TU-Munich, or the Korea Advanced Institute of Science and Technology. There are also several dual degree options through China’s Shanghai Jiao Tong University and Italy’s Politecnico di Torino.

	Back in Atlanta, graduate students can live on campus. Students and faculty are often highly involved in research projects, and students can complete co-ops and volunteer work in nearby Atlanta and beyond. More than 65 percent of all Georgia Tech students graduate from the College of Engineering, and notable alumni include Maj. General Chuck Swannack (ret.), president and chief executive officer of U.S. Logisitics, Inc., and Nagesh Kukumoor, an environmental consultant-turned-Bollywood director, actor, producer, and writer.
", N/A, N/A, $75, $85, (404) 894-1610,gradinfo@mail.gatech.edu,https://grad.gatech.edu/apply-now,https://grad.gatech.edu/, 571, 4.5:1,26.6%,73.4%,"$14,064 per year (in-state)",$586 per credit (in-state),"$14,064 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/georgia-institute-of-technology-02049
University of Michigan--Ann Arbor,#9," • Ann Arbor, MI","The College of Engineering at University of Michigan--Ann Arbor has a rolling application deadline. The application fee is $75 for U.S. residents and $90 for international students. Its tuition is full-time: $28,338 per year (in-state); full-time: $53,168 per year (out-of-state); part-time: $1,531 per credit (in-state); and part-time: $2,910 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.4:1. The College of Engineering at University of Michigan--Ann Arbor has 396 full-time faculty on staff.","
	The University of Michigan College of Engineering has curriculums for master’s, doctoral and interdisciplinary programs, and classes emphasize project-based learning. Prospective graduate students can get a feel for the College at the annual Engineering Graduate Symposium, held each November. For current graduate students, it’s a chance to present research projects, find faculty advisers and hear from featured speakers.

	Outside of class, engineering students can bond and relax at schoolwide events like the CoE Bowling Challenge and periodic luncheons. Each academic program coordinates its own student activities as well. Graduate students can get additional support through the Just ASK program, which stands for Alumni Sharing Knowledge. College alumni can volunteer to mentor current students, either in person or through mail, email or phone calls.

	Graduate students can live in a designated residence area on the university campus, also home to faculty members, staff and families. Space ranges from efficiency and economy units to three-bedroom apartments. The university is located in Ann Arbor, Michigan, a bustling college town full of shopping, dining and nightlife options.
", N/A, N/A, $75, $90, (734) 647-7118,coe-studentaffairs@umich.edu,http://www.engin.umich.edu/admissions/graduate/apply,https://www.engin.umich.edu/academics/graduate-professional/, 396, 4.4:1,24.7%,75.3%,"$28,338 per year (in-state)","$1,531 per credit (in-state)","$28,338 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-michigan-ann-arbor-02088
Texas A&M University--College Station,#10," • College Station, TX",The College of Engineering at Texas A&M University--College Station has a rolling application deadline. The application fee is $65 for U.S. residents and $148 for international students. Its tuition is full-time: $287 per credit (in-state); full-time: $816 per credit (out-of-state); part-time: $287 per credit (in-state); and part-time: $816 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.8:1. The College of Engineering at Texas A&M University--College Station has 445 full-time faculty on staff.,"
	The engineering school at Texas A&M—College Station offers graduate programs in a wide variety of engineering fields including aerospace engineering and ocean engineering, as well as some less typical, interdisciplinary programs such as health physics, industrial distribution and safety engineering. The school is particularly highly ranked in biological and agricultural engineering, petroleum engineering and nuclear engineering.

	There are about 3,000 graduate students and six degree areas: Master of Science (M.S.), Master of Engineering (M.E.), Master of Computer Science (M.C.S.), Master of Industrial Distribution (M.I.D.), Doctor of Philosophy (Ph.D.), and Doctor of Engineering (D.E.). The university partners with the Texas Engineering Experiment Station, also located in College Station, Texas, for research projects and has many of its own labs and facilities on campus for engineering research.

	To get financial aid for graduate school, Texas A&M students can apply for three types of assistantships: teaching, research, and non-teaching activities. Graduate students can apply for limited university-owned housing, though there may be a waiting list.

	Notable alumni of the engineering school at Texas A&M—College Station include Steven Swanson, a retired NASA astronaut, and Arthur McFerrin, founder of chemical processing and manufacturing company KMCO.
", 05/01, 02/01, $65, $148, (979) 845-9017,easa@tamu.edu,https://engineeringcas.liaisoncas.org/apply/,https://engineering.tamu.edu/academics/graduate, 445, 3.8:1,27.9%,72.1%,$287 per credit (in-state),$287 per credit (in-state),$287 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/texas-a-m-university-02174
